filename,formatName:,formatVersion:,extensions:,mimeType:,mimeTypeAliases:,pronomId:,xmlNameSpace:,creatorTool:,creatorToolUrl:,formatSpecUrl:,comments
reviews.mdb,Ms Access,2000?,,,,,,,,,Simple flat table of music reviews
Reviews.xls,MS Excel,Mac Office 2004?,,,,,,,,,Excel equivalent saved by MS Access
