filename,formatName:,formatVersion:,extensions:,mimeType:,mimeTypeAliases:,pronomId:,xmlNameSpace:,creatorTool:,creatorToolUrl:,formatSpecUrl:,comments
copac-uknuc.mmp,Mind Manager,2002,.mmp,,,,,Mind Manager,www.mindjet.com,,File created originally on a Win95 machine using Mind Manager 2002
copac-uknuc.xml,Mind Manager XML (2003),,.xml,,,,,Mind Manager,,,XML derivative created on a Win XP machine to facilitate migration to NovaMind
copac-uknuc.png,Portable Neytwork Graphics,,.png,,,,,Mind Manager,,,Image file created as the XML derivative was made
